Word,Frequency
top,1
well,20
reasoned,1
clearly,9
thank,14
clever,1
first-rate,2
helpful,6
pleased,5
good,19
welcome,6
strong,5
important,11
powerful,1
capable,1
grateful,8
support,6
thoughtful,10
earnest,1
patience,1
sincere,2
congratulations,2
impressed,3
accomplishments,1
awarded,1
proud,1
best,15
hopeful,2
right,6
reasonable,1
appropriate,1
supportive,1
available,1
lead,3
correct,2
appreciate,8
worked,2
loyalty,2
stronger,2
honor,3
master,1
desirable,1
work,9
refine,2
ready,1
worth,2
accomplished,2
promptly,1
protect,3
selective,3
talents,2
useful,5
gain,1
great,5
better,7
affirmative,1
fairly,2
unequivocal,1
strongest,1
exceeds,1
favored,2
eventful,1
succeed,1
marvel,1
wonderful,2
courteous,1
fond,1
wonder,1
warm,1
lovely,1
helped,1
advantage,5
articulate,4
like,7
trust,1
safe,1
responsibly,1
prosper,2
pros,2
reaffirm,1
wisdom,3
approval,1
easy,2
approve,1
straightforward,1
favor,3
enough,5
openly,1
positive,1
defeating,1
applaud,1
significant,3
clear,3
resounding,1
defeat,1
happily,1
nicely,1
evenly,1
balanced,1
readily,1
engaging,1
appreciated,3
successful,2
pretty,2
properly,1
precisely,2
honorable,1
kindly,2
valuable,4
interesting,2
comfortable,1
enjoy,1
reputation,2
leading,1
respect,2
reasonably,1
afford,1
glad,1
revive,1
faith,1
enjoyed,1
wonderfully,1
refreshing,1
rational,2
love,2
sensibly,1
thoughtfully,1
admire,2
willing,2
educated,2
advocates,1
accurately,1
confidence,1
healthy,1
confident,1
nice,1
sharp,2
patient,1
lucid,1
simplify,1
assure,1
easier,1
prefer,2
enterprising,1
interests,1
gained,1
comprehensive,1
achievement,1
honest,1
led,1
advanced,1
distinction,1
continuity,1
promise,1
vibrant,1
truthfully,1
regard,1
abound,1
